,date,content,higher_order,higher_order_e,网管办,网监,boss_order,boss_order_e,老沉,陈彤,老陈,info_action,info_action_e,行动性,煽动,surveillance,surveillance_e,上报,discussion_protect,discussion_protect_e,攻击,攻击.*党,攻击.*政府,攻击.*领导人,攻击.*制度,person_p,person_p_e,习近平,温家宝,温,薄熙来,近平,温家,周永康,习,胡锦涛,江泽民,person_y,person_y_e,陈光诚,person_b,person_b_e,foreign,foreign_e,美国,香港,sina,sina_e,新浪,person,org,gpe,person_n,org_n,gpe_n
0,2011年10月16日,2000年首次公布中国部分官员财产，结果引起西方国家的羡慕、嫉妒、恨，指责中国炫富、暴富。为维护和谐的国家关系，后来中国再也不公布官员财产了,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],['中国'],0,0,1
7,2011年10月16日,广西玉林军警冲突 派出所被包围 2011年10月15日晚，广西玉林发生严重军警冲突。晚上约9时，北辰派出所一名副所长带领30多名干警对驻玉林部队多名军官进行殴打，军官证全被撕烂，并强行拉到派出所继续殴打，几名军官受重伤昏迷。军官被拷打约2小时， 军方介入救人，多部军车包围北辰派出所。网管办要求清理，已请示陈彤，审核见到私密处理。,['网管办'],1,1,0,['陈彤'],1,0,1,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],"['北辰派出所', '玉林军警冲突 派出所']","['广西', '玉林']",0,2,2
6,2011年10月16日,[URL] 这条网管办让删，让新闻中心去问是谁让删的了，一直没回复，就报蒋XX了，暂时没报老大,['网管办'],1,1,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
5,2011年10月16日,[URL] 网监要求删除 报老陈了同意处理，私密了,['网监'],1,0,1,['老陈'],1,0,0,1,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['陈'],[],[],1,0,0
8,2011年10月16日,[CODE] 陈彤要求，该内容全部删除，见到私密处理，务必要弄干净。为打击虚假信息——微博信用认证将添新“关卡”。新浪微博信用认证将加一道“关卡”，比加“V”用户的认证信息更可靠。信用较低的用户，将被限制部分功能使用。昨天，由首都文明办、市互联网信息办公室、北京网络媒体协会共同举办的创建和评选北京文明网站活动启动。年底，本市将评出首批“北京互联网文明频道”和“北京文明网站”。在现场，新浪副总裁、总编辑陈彤表示，现在，新浪正在实行加“V”用户的信息认证，这个体系的认证需要用户的真实个人信息，提高信用安全度。新浪正在筹建微博信用体系，以达到用户自律、他人监督的双重效果。同时，对低信用用户以图标形式公示，并限制其部分功能使用，从而达到抑制谣言传播、惩戒谣言发布者的目的。●微博用户信用体系：就是要打击虚假和欺诈信息，通过发动每个微博网友参与举报的方式，建立用户的信用积分等级。信用体系将和用户以往表现挂钩。,[],0,0,0,['陈彤'],1,0,1,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,['新浪'],1,1,[],"['市互联网信息办公室', '新浪', '北京网络媒体协会', '首都文明办']",['北京'],0,4,1
3,2011年10月16日,[URL] 负面内容清理下，单审到明天早上7点 我先审后上了,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
2,2011年10月16日,高宝玉：【文革中美女们竟然就这样香消玉损】时至今日，国家为此承担了什么样的责任？看看近日上海因为拒不进行选民登记就被打死的公民，就该清楚，这个国家，实际上一切都在继续 老沉举报 见到私密处理,[],0,0,0,['老沉'],1,1,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],['上海'],0,0,1
1,2011年10月16日,老沉举报 见到私密处理,[],0,0,0,['老沉'],1,1,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
4,2011年10月16日,陈光诚事件：王小山等人去临沂，但是没有成功进入东师古村，下午有一些网友也去了，注意观察动向吧，基本都没管，网监发来的单条处理了两条。,['网监'],1,0,1,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,"['陈光诚', '王小山']",1,1,[],0,[],0,0,0,[],0,0,"['王小山', '陈光诚']",[],"['东师古村', '临沂']",2,0,2
9,2011年10月17日,2011拯救.光明行动----突袭尸骨村 此图见到私密,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['光明'],[],[],1,0,0
10,2011年10月17日,克拉玛依二中发生打架事件，陈彤要求，谈论此事的全部私密处理。随时通报他进展。,[],0,0,0,['陈彤'],1,0,1,0,[],0,0,0,['通报'],1,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['克拉玛依二'],[],[],1,0,0
11,2011年10月17日,克拉玛依屏蔽搜索。陈彤要求：今明两天安排人密切关注克拉玛依事件的内容。全部私密处理。,[],0,0,0,['陈彤'],1,0,1,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
20,2011年10月18日,"【哎，这对！】柴LING在回憶錄稱，他与封CONG德逃到海外後分手,因封戀上香港一影星。封说,「這並非事實,原因是價值觀差異。」他让柴公開「女星是誰」。柴自爆四次墮胎,封说「前2次我毫不知情,後2次我皆明確表示,希望保住胎兒,還準備退學養家」,但柴還是一意孤行,指回憶錄「多有誇張扭曲和掩飾」 相关内容一律私密",[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,['香港'],1,0,1,[],0,0,"['明確', '柴還', '柴自']",[],['價值'],3,0,1
24,2011年10月18日,今天有部分网友去探望陈光诚被阻，一般谈论的转发高的止下。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,['陈光诚'],1,1,[],0,[],0,0,0,[],0,0,['陈光诚'],[],[],1,0,0
23,2011年10月18日,最新消息称小悦悦已经不治身亡。虚假消息，见到私密,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
22,2011年10月18日,段子 普删V私,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
21,2011年10月18日,转个严肃的黄段子：【六中全会】“不要…不要…不要…！” “要…要…要！大力…大力…深入…深入…还要…还要…！” 祝六中全会圆满成功！,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],['六中全会'],[],0,1,0
